year	month	day	prcp	dflw	max_upflx	water_evap	eto	no3c	srpc
2007	1	1	1.02	9.43355	120	0.935265517	0.87	4.0005	0.034651
2007	1	2	0	5.06205	16.04822939	0.92797931	0.64	4.0005	0.034651
2007	1	3	0	2.035	4.129251701	0.981989655	0.94	4.37	0.034651
2007	1	4	3.04	1.35995	3.071197909	1.039317241	1.2	4.37	0.034651
2007	1	5	26.68	4.2656	7.217531513	1.036282759	0.43	4.37	0.034651
2007	1	6	0	9.74165	120	0.93007931	1.4	3.2115	0.034651
2007	1	7	2.78	7.01265	50.51846341	0.948017241	0.35	3.2115	0.034651
2007	1	8	0.74	4.19415	6.290028011	0.9737	0.74	3.2115	0.034651
2007	1	9	0	1.1527	2.833330472	0.981672414	0.67	4.06715	0.034651
2007	1	10	1.11	0.79345	2.64055794	0.9485	0.64	4.31785	0.034651
2007	1	11	0	0.70515	2.594729614	0.964624138	0.95	4.5685	0.034651
2007	1	12	9.79	0.63675	2.559502146	1.020231034	0.79	3.1525	0.034651
2007	1	13	13.83	9.1608	96.36029963	1.085475862	0.91	3.1525	0.034651
2007	1	14	20.85	10.26375	120	1.129844828	0.26	3.1525	0.034651
2007	1	15	18.17	11.3461	120	1.082210345	1.64	3.1525	0.034651
2007	1	16	0	8.12885	94.79475655	0.992431034	0.7	3.1525	0.034651
2007	1	17	0	4.103756454	47.85604286	1.100965517	0.57	3.1525	0.034651
2007	1	18	0	2.07173426	24.15957298	1.110534483	0.94	3.9944	0.034651
2007	1	19	0	1.04589122	12.19668262	1.150789655	0.52	4.0048	0.034651
2007	1	20	0	0.528006156	6.157354981	1.1155	0.65	4.0152	0.034651
2007	1	21	0	0.74915	2.908169529	1.048710345	0.57	4.0256	0.034651
2007	1	22	0	0.67785	2.885686333	1.102634483	0.49	4.036	0.034651
2007	1	23	0.92	0.6188	2.868670807	1.223389655	0.6	4.0464	0.034651
2007	1	24	0	0.7075	2.892340553	1.231417241	0.5	4.0568	0.034651
2007	1	25	0.92	0.7753	2.918050037	1.071296552	0.56	4.0672	0.034651
2007	1	26	1.2	0.7119	2.901145631	1.191024138	1.69	4.0776	0.034651
2007	1	27	0	0.63645	2.873515528	1.393237931	0.97	4.08805	0.034651
2007	1	28	0	0.64715	2.880040329	1.300334483	0.77	4.09845	0.034651
2007	1	29	0	0.6332	2.865968944	1.253496552	0.77	4.10885	0.034651
2007	1	30	0	0.7291	2.905111277	1.378144828	0.77	4.11925	0.034651
2007	1	31	0	0.67695	2.89129873	1.177765517	0.63	4.12965	0.034651
2007	2	1	0	0.56505	2.855347639	1.357827586	0.82	4.14005	0.0158
2007	2	2	0.24	0.49055	2.7857897	1.307424138	0.55	4.15045	0.0158
2007	2	3	0	0.40255	2.717536481	1.262810345	0.51	4.16085	0.0158
2007	2	4	0	0.5102	2.803077253	1.3962	0.43	4.17125	0.0158
2007	2	5	0	0.4998	2.805197425	1.331972414	0.36	4.18165	0.0158
2007	2	6	0	0.55005	2.960092606	1.296765517	0.37	4.19205	0.0158
2007	2	7	0	0.4937	2.801690987	1.306655172	0.37	4.20245	0.0158
2007	2	8	0	0.4835	2.799081545	1.294117241	0.5	4.21285	0.0158
2007	2	9	0.84	0.44765	2.780407725	1.493606897	0.52	4.22325	0.0158
2007	2	10	0	0.45985	2.791579399	1.721406897	0.52	4.23365	0.0158
2007	2	11	0	0.55915	2.858763975	1.636875862	0.98	4.24405	0.0158
2007	2	12	0	0.4513	2.789866953	1.541375862	0.79	4.25445	0.0158
2007	2	13	0	0.33065	2.711420601	1.51682069	1.03	4.26485	0.0158
2007	2	14	0	0.3555	2.74232618	1.389517241	0.79	4.2753	0.0158
2007	2	15	0	0.49325	2.837407725	1.788441379	0.65	4.2857	0.0158
2007	2	16	0	0.3095	2.698944206	1.716489655	0.77	4.2961	0.0158
2007	2	17	0	0.32585	2.727566524	1.707775862	0.67	4.3065	0.0158
2007	2	18	0	0.55635	2.874136646	1.57222069	0.78	4.3169	0.0158
2007	2	19	0	0.34725	2.756107296	1.745124138	2.59	4.3273	0.0158
2007	2	20	0	0.17530517	1.391389078	1.786855172	1.37	4.3377	0.0158
2007	2	21	0	0.088500799	0.702426777	2.018451724	1.24	4.3481	0.0158
2007	2	22	0	0.044678611	0.354612082	1.905068966	1.03	4.3585	0.0158
2007	2	23	0	0.12725	2.567738197	1.990896552	1.07	2.907	0.0158
2007	2	24	3.97	0.2317	2.651648069	2.057841379	1.12	2.907	0.0158
2007	2	25	4.24	0.90205	2.935895444	2.023555172	1.11	2.907	0.0158
2007	2	26	0	2.4211	4.343112245	1.980296552	0.48	2.907	0.0158
2007	2	27	0	2.30455	3.754676871	2.21257931	0.8	1.8365	0.0158
2007	2	28	0	2.0819	3.392614786	2.044627586	1.13	1.8365	0.0158
2007	3	1	12.54	3.2027	5.599173367	2.154172414	1.11	1.947	0.022824
2007	3	2	0	5.58635	18.48366968	2.329624138	1.29	1.947	0.022824
2007	3	3	0	4.37905	9.385143557	2.157989655	0.84	1.947	0.022824
2007	3	4	3.88	1.78705	3.268821012	1.983972414	0.89	1.947	0.022824
2007	3	5	0	0.8311	2.919629574	2.327410345	1.45	1.947	0.022824
2007	3	6	0	0.6794	2.858950311	2.329896552	0.94	1.947	0.022824
2007	3	7	0	0.66525	2.878639752	2.451141379	0.93	3.182	0.022824
2007	3	8	0	0.63415	2.870658385	2.628037931	1.55	3.182	0.022824
2007	3	9	0	0.849	2.925914115	2.722982759	2.69	3.182	0.022824
2007	3	10	0	1.65465	3.347468872	2.620982759	2.28	2.4855	0.022824
2007	3	11	0	1.44535	3.105805447	2.581224138	1.76	2.4855	0.022824
2007	3	12	0	3.02195	8.274201681	2.748510345	2.19	2.4855	0.022824
2007	3	13	0	1.2206	3.036212845	2.66077931	3.92	3.8285	0.022824
2007	3	14	8.96	1.1773	3.009024645	2.909944828	3.45	3.8285	0.022824
2007	3	15	32.59	10.3546	120	3.06502069	1.88	3.8285	0.022824
2007	3	16	0	8.2365	120	2.992644828	1.28	5.464	0.022824
2007	3	17	7.29	3.03575	6.707377451	2.946431034	1.41	5.464	0.022824
2007	3	18	0	1.3945	3.077112771	3.050631034	1.74	5.464	0.022824
2007	3	19	7.19	4.34075	7.986018908	2.912513793	1.33	5.464	0.022824
2007	3	20	0	4.8679	12.60935211	2.834527586	1.67	5.464	0.022824
2007	3	21	1.02	1.82765	3.575445525	3.167537931	4.46	5.0985	0.022824
2007	3	22	4.24	1.5618	3.194054475	3.149365517	1.38	5.0985	0.022824
2007	3	23	68.03	10.3436	120	3.003972414	0.82	5.0985	0.022824
2007	3	24	4.8	11.0858	120	3.468572414	1.88	4.7905	0.022824
2007	3	25	0	7.7654	94.09438202	3.741524138	3.7	4.7905	0.022824
2007	3	26	0	2.84695	6.3182493	3.471255172	2.54	4.7905	0.022824
2007	3	27	0	1.3021	3.052008215	3.533703448	3.36	4.7905	0.022824
2007	3	28	0.16	0.9487	2.961638536	3.427734483	1.83	4.7905	0.022824
2007	3	29	0.46	0.79495	2.918991038	3.907906897	2.76	4.7905	0.022824
2007	3	30	0.46	0.8361	2.93179537	3.487251724	3.83	5.5485	0.022824
2007	3	31	4.14	0.9195	2.961974608	3.502603448	2.8	5.5485	0.022824
2007	4	1	8.49	0.9159	2.950111277	3.982734483	3.54	5.5485	0.028974
2007	4	2	0	1.0725	3.238178988	3.882989655	3.99	5.5485	0.028974
2007	4	3	7.36	1.1866	3.422031128	3.868713793	3.86	5.8625	0.028974
2007	4	4	0	1.05175	3.277809339	4.103944828	1.93	5.8625	0.028974
2007	4	5	0	0.85435	3.064342046	4.021624138	1.06	5.8625	0.028974
2007	4	6	0	1.03525	3.20140856	3.940089655	0.9	6.047	0.028974
2007	4	7	0	1.00445	3.180163424	3.766124138	0.76	6.047	0.028974
2007	4	8	0	0.77825	3.042967886	4.025413793	0.99	6.047	0.028974
2007	4	9	0	0.71155	3.020988798	4.130755172	1.32	6.047	0.028974
2007	4	10	0	0.7445	3.028651232	3.834972414	2.49	5.9395	0.028974
2007	4	11	24.63	3.3799	7.389572829	4.250803448	1.53	5.9395	0.028974
2007	4	12	1.5	8.78565	120	4.63717931	1.02	5.9395	0.028974
2007	4	13	0	4.676209476	63.87064556	3.992744828	2.47	5.9395	0.028974
2007	4	14	9.66	1.376845782	7.00795054	3.95447931	0.74	5.686	0.028974
2007	4	15	3.3	1.605123631	8.963482578	4.332503448	2.77	5.686	0.028974
2007	4	16	0	0.854335687	4.770861823	4.370665517	3.14	5.686	0.028974
2007	4	17	0	0.454724766	2.539316871	4.728996552	4	5.686	0.028974
2007	4	18	0	0.242029703	1.351565065	4.456906897	1.88	6.2765	0.028974
2007	4	19	0	0.128821611	0.719377777	4.68057931	2.84	6.2765	0.028974
2007	4	20	0	0.068565996	0.382892692	4.396965517	3.92	6.2765	0.028974
2007	4	21	0	0.47725	2.73588412	4.551341379	4.1	6.276	0.028974
2007	4	22	0	0.48545	2.749828326	4.6701	5.39	6.276	0.028974
2007	4	23	0	0.49385	2.762793991	4.862917241	4.49	6.276	0.028974
2007	4	24	0	0.4536	2.723815451	5.376148276	3.9	6.276	0.028974
2007	4	25	24.13	0.61105	2.844012876	5.095448276	1.14	5.673	0.028974
2007	4	26	24.89	5.46445	10.13045296	5.000334483	2.73	5.673	0.028974
2007	4	27	0.25	9.75495	120	5.319051724	1.19	5.673	0.028974
2007	4	28	0	5.7996	25.11293983	5.211313793	4.09	5.764	0.028974
2007	4	29	0	1.53505	3.163003891	5.343627586	4.95	5.764	0.028974
2007	4	30	0	0.9121	2.94070127	5.023206897	5.46	5.764	0.028974
2007	5	1	0	0.7149	2.887299477	4.911882759	5.13	6.441	0.056604
2007	5	2	0	0.58355	2.832596567	5.166341379	3.2	6.441	0.056604
2007	5	3	0	0.53465	2.787012876	5.137803448	4.48	6.441	0.056604
2007	5	4	0	0.51645	2.773802575	5.115089655	3.53	6.441	0.056604
2007	5	5	12.19	0.487	2.753497854	5.098141379	2.15	6.441	0.056604
2007	5	6	0	0.42205	2.690871245	5.544682759	3.69	6.441	0.056604
2007	5	7	0	0.4374	2.705386266	5.388434483	4.93	6.441	0.056604
