CCD NAME	STATE	GHCND ID	GHCND NAME	Latitude	Longitude	Jan_wnd	Feb_wnd	Mar_wnd	Apr_wnd	May_wnd	Jun_wnd	Jul_wnd	Aug_wnd	Sep_wnd	Oct_wnd	Nov_wnd	Dec_wnd	Jan_rhmin	Feb_rhmin	Mar_rhmin	Apr_rhmin	May_rhmin	Jun_rhmin	Jul_rhmin	Aug_rhmin	Sep_rhmin	Oct_rhmin	Nov_rhmin	Dec_rhmin
BIRMINGHAM	AL	USW00013876	BIRMINGHAM AP	33.5656	-86.745	6.9	7.4	7.6	7.3	6.1	5.3	5.2	4.9	5.3	5.5	6	6.5	60	56	52	50	53	56	58	57	56	52	55	60
HUNTSVILLE	AL	USW00003856	HUNTSVILLE INTL AP	34.6439	-86.7861	8.3	8.7	9	8.5	7.4	6	5.2	5.1	6	6.5	7.4	8	64	60	55	51	54	55	59	57	56	52	57	63
MOBILE	AL	USW00013894	MOBILE	30.6794	-88.2397	8.6	8.9	9	8.6	7.4	6.3	5.7	5.7	6.6	7	7.7	8.1	60	58	54	53	54	57	61	60	59	53	56	61
MONTGOMERY	AL	USW00013895	MONTGOMERY AP	32.2997	-86.4075	7	7.3	7.3	6.5	5.5	5	4.8	4.6	5.4	5.4	5.9	6.4	59	56	52	51	53	55	58	56	55	51	53	59
ANCHORAGE	AK	USW00026451	ANCHORAGE INTL AP	61.1689	-150.0278	6.3	6.4	7	7.1	8.2	8.1	7.1	6.6	6.8	6.5	6.5	6.3	74	69	57	54	50	57	63	65	65	67	74	77
ANNETTE	AK	USW00025308	ANNETTE ISLAND AP	55.0389	-131.5786	9	8.5	8.7	8.2	7.4	7.2	6.4	6.5	7	8.2	8.9	9	77	73	69	67	65	68	71	73	75	78	78	80
BARROW	AK	USW00027502	BARROW POST ROGERS AP	71.2833	-156.7814	12.8	12.9	11.7	12	12.4	12.1	12.2	12.4	13	13.9	13.2	13	73	72	72	77	84	85	84	86	87	85	80	74
BETHEL	AK	USW00026615	BETHEL AP	60.785	-161.8292	14.2	13.8	12.9	11.6	10.7	9.7	9.6	10.3	10.4	11.5	12.2	12.9	78	75	75	72	62	61	69	74	71	77	82	79
BETTLES	AK	USW00026533	BETTLES AP	66.9161	-151.5089	4.6	5	5.7	6.4	6.3	5.8	5.5	5.1	5.3	5.3	4.8	4.8	70	66	59	57	49	47	55	61	63	73	74	73
BIG DELTA	AK	USW00026415	BIG DELTA AP	63.9944	-145.7214	12.1	11.3	9.6	8.8	8.6	7.6	6.9	7.1	8.5	9.2	10.4	12.4	67	63	53	44	38	45	52	53	56	69	72	71
